trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,17,-11.75565132413198,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-107.63337856057484,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,21,6.864363446402908,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-49.368768455460526,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",30,0,-104.36113033892286,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-53.645551775990164,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,13,-10.301234074371479,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-52.892021352214144,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,12,-9.152253143523108,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,7,-1.408391055978111,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,12,-50.704129075194565,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,3,-63.20955146812415,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,14,-31.006231142474814,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,15.340899756354943,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,13,5.17108004076753,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,16,9.534551049897892,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-44.242356434265645,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,13,12.116946216792137,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,6,4.912745987535704,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,2,-16.059422442105056,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,6,-16.407516786018235,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-136.49315314419354,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,4,3.92353671218315,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-2.6954034882390987,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,0,10.770472120329284,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,-27.96379235402864,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",30,16,11.948257837537803,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,10,7.483647999279521,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-30.666338946993562,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,6,2.907656166563764,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,-51.716031013847555,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,6,7.93350195310251,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,7,-57.47685132780693,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,17,-72.61945622252523,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,17,12.061796313397062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,20,7.748082781436038,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-35.05189207697374,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,15,9.201562239448966,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,6,19.458778969492894,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,3,-138.74629389987248,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 4}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",30,17,14.508949816952539,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,12,17.57459424044148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,14,-21.05873203276355,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,9,-35.52509083408767,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,12,-9.63142454027172,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,9,27.53455624114377,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,9,14.558555667252389,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,-90.29917163292019,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
